NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 251;R OTTO DE BARROS,   340, APT 71 04152050  SAO PAULO SP ;7512;4;
Cliente Ficticio 252;R PE JERONIMO VERMIN,   204, BL D, APT 47 04180020  SAO PAULO SP ;19423;4;
Cliente Ficticio 253;AV ANGELINA,278,FRENTE 02077000  SAO PAULO SP ;19263;4;
Cliente Ficticio 254;R PEDRO VIEIRA DA SILVA,   595, BL DEL REY BEACH, APT 52 13080570  CAMPINAS SP ;11021;4;
Cliente Ficticio 255;AV GERALDO ANTONIO DA SILVA,   136 12051660  TAUBATE SP ;18660;4;
Cliente Ficticio 256;R ALM BALTAZAR,   194, BL 2, APT 410 20941150  RIO DE JANEIRO RJ ;19046;4;
Cliente Ficticio 257;R CAP JOSE MARIA,  1008 15084150  SAO JOSE DO RIO PRETO SP ;23240;4;
Cliente Ficticio 258;R MARCONDES HOMEM DE MELO,   239 08275030  SAO PAULO SP ;34779;4;
Cliente Ficticio 259;R DR BENEDITO TOLOSA,   750 04193020  SAO PAULO SP ;16864;4;
Cliente Ficticio 260;R DA SERINGUEIRA,   180 93334500  NOVO HAMBURGO RS ;17994;4;
Cliente Ficticio 261;R NATALINO AMARO TEIXEIRA,    85 04334000  SAO PAULO SP ;26080;4;
Cliente Ficticio 262;R BENJAMIN CONSTANT,  1354, - CORRETO, APT 401 89037500  BLUMENAU SC ;16665;4;
Cliente Ficticio 263;R CARMEM MIRANDA,   560, APT 202 21931080  RIO DE JANEIRO RJ ;25122;4;
Cliente Ficticio 264;R DOMINGOS JAHNEL,    23 13212732  JUNDIAI SP ;10664;4;
Cliente Ficticio 265;R PERNAMBUCANA,   250, BL 5, APT 52 06140040  OSASCO SP ;22884;4;
Cliente Ficticio 266;R DOMINGOS DE ALMEIDA,  2456, APT 202 97501690  URUGUAIANA RS ;23024;4;
Cliente Ficticio 267;R DO LEBLON,    93 13471370  AMERICANA SP ;28527;4;
Cliente Ficticio 268;AV PRF MANOEL JOSE PEDROSO,  1352 06717100  COTIA SP ;12567;4;
Cliente Ficticio 269;R JOSE CARLOS DE TOLEDO PIZA,   100, BL B, APT 176 05712070  SAO PAULO SP ;35091;4;
Cliente Ficticio 270;R BARCELOS,2370 69065190  MANAUS AM ;14707;4;
Cliente Ficticio 271;R PRF CARLOS CALLIOLI,    87 03451020  SAO PAULO SP ;24123;4;
Cliente Ficticio 272;R VALENCA DO MINHO,   491, FD 03583040  SAO PAULO SP ;28557;4;
Cliente Ficticio 273;R CENIRA LANDULPHO SANSON,   337 18070260  SOROCABA SP ;12697;4;
Cliente Ficticio 274;R SALATIEL RODRIGUES DA FONSECA,    40 12423570  PINDAMONHANGABA SP ;19775;4;
Cliente Ficticio 275;R MARIO PORTELA,   161, BL C, APT 504 22241000  RIO DE JANEIRO RJ ;40564;4;
Cliente Ficticio 277;R JOANA SOARES FERREIRA,   329 12236420  SAO JOSE DOS CAMPOS SP ;15762;4;
Cliente Ficticio 278;R PRF ROQUE PASSARELLI,    71 12082470  TAUBATE SP ;16017;4;
Cliente Ficticio 279;R PAULA FREITAS,    31, APT 710 22040010  RIO DE JANEIRO RJ ;43793;4;
Cliente Ficticio 280;R FERNANDES SAMPAIO,    33, APT 14 02041010  SAO PAULO SP ;5693;4;
Cliente Ficticio 281;R CIDADE DE VISEU,  1638 96083140  PELOTAS RS ;25814;4;
Cliente Ficticio 282;R MAJ CASTRO,    30 06501085  SANTANA DE PARNAIBA SP ;27708;4;
Cliente Ficticio 283;R DR ALMENOR JARDIM SILVEIRA SN,BL 58 AP 44 09180070  SANTO ANDRE SP ;11595;4;
Cliente Ficticio 284;R ARITIBA,   395, CASA 1 21765070  RIO DE JANEIRO RJ ;16479;4;
Cliente Ficticio 285;R CEGONHA,    13, QD 82 78058276  CUIABA MT ;1595;4;
Cliente Ficticio 286;R LOURDES LOPES SANCHES,   300, BL 16, APT 33, ESC E 07190033  GUARULHOS SP ;46068;4;
Cliente Ficticio 287;R JOSE ALVES DE ALMEIDA,   130, BL 6 Monet, APT 53 05527080  SAO PAULO SP ;17566;4;
Cliente Ficticio 288;R CONS RIBAS,528 11040050  SANTOS SP ;83628;4;
Cliente Ficticio 289;R EPAMINONDAS MELO DO AMARAL,   519, CASA 3 02542000  SAO PAULO SP ;6300;4;
Cliente Ficticio 290;EST JOAO DUCIM,  1063, CASA 04 09185000  SANTO ANDRE SP ;10917;4;
Cliente Ficticio 291;R BRA DO GRAVATAI,380 90160070  PORTO ALEGRE RS ;50765;4;
Cliente Ficticio 292;R PRFA MARIA PUREZA DE JESUS,  1107 49036170  ARACAJU SE ;2315;4;
Cliente Ficticio 293;R RIACHUELO,   384 13560110  SAO CARLOS SP ;24311;4;
Cliente Ficticio 294;AV PORTUGAL,  1105, QD J-16, LT 12, APT 02 74150030  GOIANIA GO ;21368;4;
Cliente Ficticio 295;R JOAO BATISTA S DE OLIVEIRA,   128, CASA 21 78085712  CUIABA MT ;13830;4;
Cliente Ficticio 296;AV PES OLIVETANOS,   543 03648000  SAO PAULO SP ;11137;4;
Cliente Ficticio 297;R EPISCOPAL,1996,RUA EPISCOPAL ,121 13560049  SAO CARLOS SP ;30906;4;
Cliente Ficticio 298;R ANTONIO SIMM,   809 82800290  CURITIBA PR ;17904;4;
Cliente Ficticio 299;AV CONSTANTINO NERY,  2503, BL F, APT 102 69050001  MANAUS AM ;37221;4;
Cliente Ficticio 300;R ARLINDO KILCAMP,   222 88107220  SAO JOSE SC ;15336;4;
Cliente Ficticio 301;R MONTEIRO LOBATO,     9, BL MARIA JOSE, APT 112 11065280  SANTOS SP ;22337;4;
Cliente Ficticio 302;R BRESSER,   639 03017000  SAO PAULO SP ;13608;4;
Cliente Ficticio 303;SUL, AVN PQ AGUAS CLARAS, LT 3885, APT 1307 71906500  BRASILIA DF ;45346;4;
Cliente Ficticio 304;R CLEMENTINO LUIS VIEIRA,   104 99060080  PASSO FUNDO RS ;19983;4;
Cliente Ficticio 305;R RIO GRANDE DO SUL,   374 09510020  SAO CAETANO DO SUL SP ;18080;4;
Cliente Ficticio 306;AV PRES WILSON,   272, APT 12 11320000  SAO VICENTE SP ;31941;4;
Cliente Ficticio 307;R WANDERLEY BORSARI,64 13338540  INDAIATUBA SP ;2794;4;
Cliente Ficticio 308;R ERNESTO CARNEIRO SANTIAGO,   222, CASA A 30730020  BELO HORIZONTE MG ;19446;4;
Cliente Ficticio 309;R JOSE RIBEIRO,   360 15040505  SAO JOSE DO RIO PRETO SP ;18331;4;
Cliente Ficticio 310;VLA D,   385, QD E, LT 06/10, BL A-13, APT 404 74635075  GOIANIA GO ;8666;4;
Cliente Ficticio 311;R MARIA BONATTO MARENDA,   418 83045140  SAO JOSE DOS PINHAIS PR ;26882;4;
Cliente Ficticio 313;R JOAO ALETTO,    54, FD 09361420  MAUA SP ;25554;4;
Cliente Ficticio 314;AV DO LAMI,87 91780120  PORTO ALEGRE RS ;25590;4;
Cliente Ficticio 315;R ODETE FERNANDES CAMPOS,    61 30626485  BELO HORIZONTE MG ;9335;4;
Cliente Ficticio 316;AV MAL DEODORO DA FONSECA,914,ED MAISON LA PLAG 11410222  GUARUJA SP ;18979;4;
Cliente Ficticio 317;R CD DE IRAJA,   413, BL A, APT 102 22271020  RIO DE JANEIRO RJ ;32628;4;
Cliente Ficticio 318;R CARVALHO DE MENDONCA,    36, LJ 3 22020050  RIO DE JANEIRO RJ ;23654;4;
Cliente Ficticio 319;R STO ANDRE,    48, FD 93546200  NOVO HAMBURGO RS ;4112;4;
Cliente Ficticio 320;R SEBASTIAO PROCOPIO OLIVEIRA,   432 12061620  TAUBATE SP ;18844;4;
Cliente Ficticio 321;R HORACIO NUNES PIRES,    25, CASA 01 04822170  SAO PAULO SP ;16178;4;
Cliente Ficticio 322;R MOACIR SILVEIRA VALLIN,   262 86071720  LONDRINA PR ;641;4;
Cliente Ficticio 323;R SRG. G SANTANA,1100,BL 17 APT 22 04674901  SAO PAULO SP ;9347;4;
Cliente Ficticio 324;R BENTO GONCALVES,  1662 93410002  NOVO HAMBURGO RS ;19067;4;
Cliente Ficticio 325;R PE LOBO,    17, CASA 02 30535600  BELO HORIZONTE MG ;19740;4;
Cliente Ficticio 326;R MNS JOAO JOSE DE AZEVEDO,   191 03266020  SAO PAULO SP ;17276;4;
Cliente Ficticio 327;R PRATA,   228 07162440  GUARULHOS SP ;10789;4;
Cliente Ficticio 328;R VIOLETA NILSEN MARTINS,    55, CASA 01 13486713  LIMEIRA SP ;19058;4;
Cliente Ficticio 329;R SIRIO LIBANESA,   123 13276100  VALINHOS SP ;19592;4;
Cliente Ficticio 330;AV OLYNTHO ANTUNES OLIVEIRA,   360 12514290  GUARATINGUETA SP ;6070;4;
Cliente Ficticio 331;AV PEDRO ALVARES CABRAL,1991,AP 204 66113190  BELEM PA ;19786;4;
Cliente Ficticio 332;R MANOEL ALBANO ROSKAMP,   223 82920070  CURITIBA PR ;16786;4;
Cliente Ficticio 333;R SERENATA,   111 03212010  SAO PAULO SP ;20789;4;
Cliente Ficticio 334;R MALLET,    92, APT 204 21061130  RIO DE JANEIRO RJ ;18570;4;
Cliente Ficticio 335;R MONTE VERDE,    39, FD CASA 30881410  BELO HORIZONTE MG ;11761;4;
Cliente Ficticio 336;AV HIGIENOPOLIS,  1338, ED RES. HIGIENÓPOLIS II, APT 13 86015010  LONDRINA PR ;5096;4;
Cliente Ficticio 337;R TAMANDARE,   997, APT 1303 01525001  SAO PAULO SP ;1938;4;
Cliente Ficticio 338;AV NADIMA DAMHA,  2000, QD D, LT 18 15061759  SAO JOSE DO RIO PRETO SP ;20327;4;
Cliente Ficticio 339;R INDONESIA,   455 09270570  SANTO ANDRE SP ;21363;4;
Cliente Ficticio 340;R CEARA,   480, CASA 3 09520410  SAO CAETANO DO SUL SP ;1990;4;
Cliente Ficticio 341;PC OSWALDO CRUZ,124,BL 1 AP 134 04004903  SAO PAULO SP ;17662;4;
Cliente Ficticio 342;R BR DE MELGACO,  2350, SALA 3 78020800  CUIABA MT ;16153;4;
Cliente Ficticio 343;R CORRUIRA,    30 13061309  CAMPINAS SP ;11148;4;
Cliente Ficticio 344;R COSTA DO SOL,765 13566070  SAO CARLOS SP ;18419;4;
Cliente Ficticio 345;R SALIM IZAR,   333, BL D - PAINEIRA, APT 61 05617040  SAO PAULO SP ;38508;4;
Cliente Ficticio 346;R JAPAO,  1145 13470300  AMERICANA SP ;5250;4;
Cliente Ficticio 347;R DOLOVICO PISSAIA,1494,CASA 02 83050080  SAO JOSE DOS PINHAIS PR ;16084;4;
Cliente Ficticio 349;R DA HARMONIA,   799, CASA 1 06716623  COTIA SP ;16402;4;
Cliente Ficticio 350;R DO ORATORIO,1897,AP 04 03195000  SAO PAULO SP ;31431;4;
Cliente Ficticio 351;R BENEDITO DIAS DOS SANTOS,   191, BL A, APT 14 06716530  COTIA SP ;18942;4;
Cliente Ficticio 352;R VICENTE TOZO,    20 83065485  SAO JOSE DOS PINHAIS PR ;31531;4;
Cliente Ficticio 353;TV ERNESTO FANELLI,    11, FD 02226080  SAO PAULO SP ;1939;4;
Cliente Ficticio 354;R NOEL DE MEDEIROS ROSA,   409, CASA 01 18053170  SOROCABA SP ;21183;4;
Cliente Ficticio 355;R CDOR BASTOS,   243, APT 101 21911020  RIO DE JANEIRO RJ ;28672;4;
Cliente Ficticio 356;R DAS VIOLETAS,    78 13309503  ITU SP ;5071;4;
Cliente Ficticio 357;R CASTILHO ARIBERTI FAZZIO,   130, CASA 6 18066315  SOROCABA SP ;10497;4;
Cliente Ficticio 358;R ENG G C FRENDER,   927 03477000  SAO PAULO SP ;20980;4;
Cliente Ficticio 359;AV AFONSO PENA,2260,QD 09, LT AREA, BL 01, APT 1105 74665555  GOIANIA GO ;11386;4;
Cliente Ficticio 360;R LAZIO,   100, APT 302 89035038  BLUMENAU SC ;30386;4;
Cliente Ficticio 361;Q, QD 31, CJ G, LT 18 71573107  BRASILIA DF ;21364;4;
Cliente Ficticio 362;R ANTONIO GOMES,   330, CASA 5 58085070  JOAO PESSOA PB ;19430;4;
Cliente Ficticio 363;R BARATA RIBEIRO,   414, APT 85 01308000  SAO PAULO SP ;60089;4;
Cliente Ficticio 364;R AGENOR DE ABREU,   155 31960080  BELO HORIZONTE MG ;22556;4;
Cliente Ficticio 365;R ARICURI,   266, FD 23087142  RIO DE JANEIRO RJ ;32381;4;
Cliente Ficticio 366;R PRFA VERA LUCIA NOGUEIRA LUCAS,   114 07082590  GUARULHOS SP ;22994;4;
Cliente Ficticio 367;R DR PINTO FERRAZ,75,AP 32 04117040  SAO PAULO SP ;27931;4;
Cliente Ficticio 368;R ALUISIO DE AZEVEDO,136,FRENTE 13469113  AMERICANA SP ;19237;4;
Cliente Ficticio 369;R LUIZ FOGAGNOLO,134 14056500  RIBEIRAO PRETO SP ;28561;4;
Cliente Ficticio 370;R CEL SILVERIO MAGALHAES,   663 04154000  SAO PAULO SP ;14457;4;
Cliente Ficticio 371;R JOSE LAUER,   298 12244660  SAO JOSE DOS CAMPOS SP ;17966;4;
Cliente Ficticio 372;R FRANCISCO CIPRIANO DO AMARAL,   149 12227740  SAO JOSE DOS CAMPOS SP ;9608;4;
Cliente Ficticio 373;R YOSHIMARA MINAMOTO,   858, CASA 2 05847620  SAO PAULO SP ;7357;4;
Cliente Ficticio 374;AV DAS CEREJEIRAS,   960, CASA 4 02124000  SAO PAULO SP ;13557;4;
Cliente Ficticio 375;R ARACATUBA,   697, CASA 4 05058010  SAO PAULO SP ;26115;4;
Cliente Ficticio 376;R ADOLFINA AREAL SOUTO (CJ I PARAIBA),     7,   C1 69057560  MANAUS AM ;22258;4;
Cliente Ficticio 377;R HENRIQUE DUARTE DO PATEO,    57 13486039  LIMEIRA SP ;7727;4;
Cliente Ficticio 378;R GEN HASEGAWA,   138 06160100  OSASCO SP ;28700;4;
Cliente Ficticio 379;R JANGURUCU,   542 03125020  SAO PAULO SP ;46274;4;
Cliente Ficticio 380;AVENIDA CENTRAL, BL 1145, CASA 10 71710025  BRASILIA DF ;37710;4;
Cliente Ficticio 381;R GABRIEL DANUNZIO,   293, CASA A 08761450  MOGI DAS CRUZES SP ;7748;4;
Cliente Ficticio 382;R BELGRADO,   452 06437140  BARUERI SP ;36104;4;
Cliente Ficticio 383;AV N SRA DE COPACABANA,   363, APT 102 22020002  RIO DE JANEIRO RJ ;27238;4;
Cliente Ficticio 385;R JOSE MOSCARDINI,   175 13185431  HORTOLANDIA SP ;18433;4;
Cliente Ficticio 386;R SEBASTIAO GARCIA GIMENES,   734 12942581  ATIBAIA SP ;15027;4;
Cliente Ficticio 387;R VINTE E TRES DE JUNHO,   151, CASA 2 09846040  SAO BERNARDO DO CAMPO SP ;17349;4;
Cliente Ficticio 388;R HAITI,21 69097226  MANAUS AM ;19390;4;
Cliente Ficticio 389;R PE LOPES,444,ED MARROCOS APT 13 13416080  PIRACICABA SP ;24700;4;
Cliente Ficticio 390;AV 5 DE NOVEMBRO,   677 18207320  ITAPETININGA SP ;5693;4;
Cliente Ficticio 391;CJ JOAO EMILIO FALCAO,1880,COND ISADORA,  BL 04,  APT 303 64015610  TERESINA PI ;7731;4;
Cliente Ficticio 392;R MIGUEL FERNANDES MALDONADO,   343 07143222  GUARULHOS SP ;22428;4;
Cliente Ficticio 393;R BATAGUACU,25,A 02129020  SAO PAULO SP ;18047;4;
Cliente Ficticio 394;R DAS ESMERALDAS,    55, BL A2, APT 12 79102320  CAMPO GRANDE MS ;19915;4;
Cliente Ficticio 395;R DELGADO DE CARVALHO,    65, APT 202 20260280  RIO DE JANEIRO RJ ;6560;4;
Cliente Ficticio 396;R LUZIANIA,    51, QD CH-28, CASA 02 74710400  GOIANIA GO ;28238;4;
Cliente Ficticio 397;R ARARIBA,   169, FD 09172290  SANTO ANDRE SP ;10458;4;
Cliente Ficticio 398;R LUIS GAMA,    37 09180320  SANTO ANDRE SP ;4382;4;
Cliente Ficticio 399;TV CENTAUREA MAIOR,    59 03280113  SAO PAULO SP ;6145;4;
Cliente Ficticio 400;R ORESTES BARBOSA,   166 07123000  GUARULHOS SP ;22402;4;
Cliente Ficticio 401;R RETIRO,145,BL A APT 03073005  SAO PAULO SP ;47194;4;
Cliente Ficticio 402;R D BOSCO,   206, BL B, APT 42 03105020  SAO PAULO SP ;17145;4;
Cliente Ficticio 403;R SANTOS,  1245 30421422  BELO HORIZONTE MG ;31176;4;
Cliente Ficticio 404;R NARITA,495,CASA 3 02123040  SAO PAULO SP ;27761;4;
Cliente Ficticio 405;R JOSE DE ALENCAR ROGEDO,286,C 31812200  BELO HORIZONTE MG ;21227;4;
Cliente Ficticio 406;R LEONOR DOMINGUES,   253 03557040  SAO PAULO SP ;14701;4;
Cliente Ficticio 407;R CAP LINDOLFO GUIMARAES CORREA,  1970, BL 02, APT 11 15084170  SAO JOSE DO RIO PRETO SP ;24797;4;
Cliente Ficticio 408;NORTE, RUA 22, LT 04, APT 1004 71916250  BRASILIA DF ;29363;4;
Cliente Ficticio 409;CONDOMINIO VIVENDAS ALVORADA II, CJ K, LT 07 73090908  BRASILIA DF ;21870;4;
Cliente Ficticio 410;PSG S JOAO,    24, QD 51 66625020  BELEM PA ;2087;4;
Cliente Ficticio 411;R S BENTO,  1050 14801300  ARARAQUARA SP ;5853;4;
Cliente Ficticio 412;R JOSE ALBANO,   637, 02937000  SAO PAULO SP ;30617;4;
Cliente Ficticio 413;R CESAR BATISTA,   192 04312130  SAO PAULO SP ;32499;4;
Cliente Ficticio 414;R OSCAR DE SOUZA ALVES,   243 18210746  ITAPETININGA SP ;17474;4;
Cliente Ficticio 415;AV JURUCE,   520, APT 62 04080012  SAO PAULO SP ;22050;4;
Cliente Ficticio 416;R FRANCISCA NUNES LEITE,    20 18071096  SOROCABA SP ;20082;4;
Cliente Ficticio 417;R TEMPLARIOS,   131, CASA 4 03357000  SAO PAULO SP ;5324;4;
Cliente Ficticio 418;R PARAIBA,332,CASA 2 / FUNDOS 13478090  AMERICANA SP ;4764;4;
Cliente Ficticio 419;R ANTONIO FERNANDES JACOME,   119 04406010  SAO PAULO SP ;28465;4;
Cliente Ficticio 421;R JOSE RIBINSKI,    21 83708570  ARAUCARIA PR ;16948;4;
Cliente Ficticio 422;R REPUBLICA (CIDADE BAIXA),   281, APT 405 90050321  PORTO ALEGRE RS ;7512;4;
Cliente Ficticio 423;AV MQ DE SAO VICENTE,   188, BX 11075690  SANTOS SP ;44287;4;
Cliente Ficticio 424;R DES CAMPOS,   111 30820250  BELO HORIZONTE MG ;13491;4;
Cliente Ficticio 425;AL 8 (1204 SUL),    19 77019514  PALMAS TO ;21078;4;
Cliente Ficticio 426;PC DR BERNARDINO DE CAMPOS,   285, APT 14 11310300  SAO VICENTE SP ;18753;4;
Cliente Ficticio 427;AV ANTONIO CARLOS MAGALHAES,3359,APT 1302 40280000  SALVADOR BA ;13054;4;
Cliente Ficticio 428;R CAME,586,AP 7 03121020  SAO PAULO SP ;5295;4;
Cliente Ficticio 429;R ALEMANHA,  1755, BL 3, APT 47 09240001  SANTO ANDRE SP ;19491;4;
Cliente Ficticio 430;R ALCIDES LOURENCO DA ROCHA,   265 04571110  SAO PAULO SP ;5118;4;
Cliente Ficticio 431;R N SR DO BONFIM,    52 08775220  MOGI DAS CRUZES SP ;3591;4;
Cliente Ficticio 432;R MARTIM AFONSO DE SOUZA,   656 09581660  SAO CAETANO DO SUL SP ;35104;4;
Cliente Ficticio 433;AV CNSO NEBIAS,   459, BL B, APT 25 11045001  SANTOS SP ;19014;4;
Cliente Ficticio 434;R IGARAPE-ACU,352,BLOCO 12  -  APTO: 403 22783140  RIO DE JANEIRO RJ ;18895;4;
Cliente Ficticio 435;R CNSO ANTONIO PRADO,   414 13073068  CAMPINAS SP ;18928;4;
Cliente Ficticio 436;R SERRA DO CARACA,   193, FD 34515690  SABARA MG ;38758;4;
Cliente Ficticio 437;AV GEN GUEDES DA FONTOURA,   976, APT 303 22621245  RIO DE JANEIRO RJ ;46227;4;
Cliente Ficticio 438;AV PE SENA FREITAS,   119 03568020  SAO PAULO SP ;11850;4;
Cliente Ficticio 439;R SILVESTRE GONCALVES,    75 02752090  SAO PAULO SP ;15997;4;
Cliente Ficticio 440;R GUARANIS,   568 12515130  GUARATINGUETA SP ;9122;4;
Cliente Ficticio 441;R TANNUS FARES,   201 13105125  CAMPINAS SP ;13378;4;
Cliente Ficticio 442;TV VAN DICK,    14 02202050  SAO PAULO SP ;34911;4;
Cliente Ficticio 443;R FR DIOGO DAS CHAGAS,    12 03985060  SAO PAULO SP ;7834;4;
Cliente Ficticio 444;R JOSE MARIA DE ARAUJO REGADAS,   138, APT 204 25953345  TERESOPOLIS RJ ;25326;4;
Cliente Ficticio 445;R PEREIRA DA SILVA,   330, APT 405 22221140  RIO DE JANEIRO RJ ;32954;4;
Cliente Ficticio 446;PC CRISTO REDENTOR,     5 12082310  TAUBATE SP ;29974;4;
Cliente Ficticio 447;TERCEIRA AVENIDA, AE 13, LT M, APT 202 71720595  BRASILIA DF ;18718;4;
Cliente Ficticio 448;R TEREZINHA,0,QD 9 LT 18 74830145  GOIANIA GO ;20004;4;
Cliente Ficticio 449;AV DAS AMERICAS, 16150, LJ 129, SS 22790704  RIO DE JANEIRO RJ ;28755;4;
Cliente Ficticio 450;AV DA CONCHETA POLASI PIPOLI,   148 14807370  ARARAQUARA SP ;26433;4;
Cliente Ficticio 451;R PASCAL,  1292, APT 93 04616004  SAO PAULO SP ;6273;4;
Cliente Ficticio 452;R ANTONIO PEREIRA BRAGA,   210 15061310  SAO JOSE DO RIO PRETO SP ;4657;4;
Cliente Ficticio 453;R C,    73 07124263  GUARULHOS SP ;1937;4;
Cliente Ficticio 454;R MAJ FREIRE,   578, APT 86 04304110  SAO PAULO SP ;18639;4;
Cliente Ficticio 455;R PRF JOSE RANIERI QUADRA, QD 8, - 55 17015361  BAURU SP ;17890;4;
Cliente Ficticio 457;TV AGOSTINHO PUPO,30,APT 41 08730450  MOGI DAS CRUZES SP ;17552;4;
Cliente Ficticio 458;R VLTO ALDO GIGLIO PUCCI,  2870 14406751  FRANCA SP ;10185;4;
Cliente Ficticio 459;R SILVA BUENO,  2301, APT 2 04208053  SAO PAULO SP ;42416;4;
Cliente Ficticio 460;R HERCULANO DE FREITAS,    73 09520280  SAO CAETANO DO SUL SP ;2989;4;
Cliente Ficticio 461;R BENEDITO LINO DE SOUZA,   103 13212418  JUNDIAI SP ;11864;4;
Cliente Ficticio 462;R ESTEVAO DE ARAUJO,    72 03807140  SAO PAULO SP ;22295;4;
Cliente Ficticio 463;R EUDMIRA ALMEIDA NEVES RINALDO,    26 18070805  SOROCABA SP ;24397;4;
Cliente Ficticio 464;R HIPOPOTAMO,   149, CS 1 06810480  EMBU DAS ARTES SP ;16898;4;
Cliente Ficticio 465;R ALTO BELO,   743 03478040  SAO PAULO SP ;1941;4;
Cliente Ficticio 466;R FRANCISCO SANCHES,  1804 15081120  SAO JOSE DO RIO PRETO SP ;12876;4;
Cliente Ficticio 467;R CARANDA(STA TEREZINHA),   350 09931110  DIADEMA SP ;14284;4;
Cliente Ficticio 468;R CASTRO ALVES,   457, CASA 2 09540030  SAO CAETANO DO SUL SP ;7877;4;
Cliente Ficticio 469;R EVARISTO DA VEIGA,   182 11075660  SANTOS SP ;22030;4;
Cliente Ficticio 470;R JOSE MARIA GALVAO,   121 13311281  ITU SP ;10486;4;
Cliente Ficticio 471;AV MONTEMAGNO,  2167 03371000  SAO PAULO SP ;29539;4;
Cliente Ficticio 472;C A VICENTE PIRES,227,RUA 08 CH 227 LT3 72007075  BRASILIA DF ;20888;4;
Cliente Ficticio 473;R 6 A,    25, BL C, QD G3, LT 3/60, APT 103 74115080  GOIANIA GO ;23758;4;
Cliente Ficticio 474;R BARRA LONGA,   218 30550430  BELO HORIZONTE MG ;17490;4;
Cliente Ficticio 475;R MAL MASCARENHAS DE MORAIS,    93, APT 103 22030040  RIO DE JANEIRO RJ ;33993;4;
Cliente Ficticio 476;R PURPURINA,   155, CJ 95 05435030  SAO PAULO SP ;23655;4;
Cliente Ficticio 477;AV DR EPITACIO PESSOA,   664, BL B, APT 401 11030602  SANTOS SP ;25759;4;
Cliente Ficticio 478;R TEOTONIO VILELA,145 13568000  SAO CARLOS SP ;19855;4;
Cliente Ficticio 479;R TEREZINA,  1501 14402278  FRANCA SP ;6025;4;
Cliente Ficticio 480;AV RAPOSO TAVARES,   999 13401542  PIRACICABA SP ;19920;4;
Cliente Ficticio 481;R JOAO AGRIPINO FORTES,    51 12516220  GUARATINGUETA SP ;15381;4;
Cliente Ficticio 482;R MARIA HEILBUTH SURETTE,  1295, APT 501 30575100  BELO HORIZONTE MG ;10487;4;
Cliente Ficticio 483;R CARLOS STEINEN,   412 04004012  SAO PAULO SP ;9999;4;
Cliente Ficticio 484;R RANGEL PESTANA,   857 14030210  RIBEIRAO PRETO SP ;24973;4;
Cliente Ficticio 485;R ZINIAS,   209, CASA 3 09361250  MAUA SP ;13726;4;
Cliente Ficticio 486;AV JOAO PESSOA,   324 02440050  SAO PAULO SP ;15458;4;
Cliente Ficticio 487;ROD DO MARIO COVAS,1500,BL B4 APT 52 67115000  ANANINDEUA PA ;467;4;
Cliente Ficticio 488;R QUINZE DE NOVEMBRO,  1627, APT 501 96015000  PELOTAS RS ;22668;4;
Cliente Ficticio 489;R JOVINA GOMES DE SOUZA,   789 31570050  BELO HORIZONTE MG ;9719;4;
