NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 1634;R JOSE ANTONIO DE OLIVEIRA,   563 12236690  SAO JOSE DOS CAMPOS SP ;0;4;
Cliente Ficticio 1670;R RIO DE JANEIRO,  1758, APT 2202 30160042  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 1706;R MAL DEODORO,277 12280041  CACAPAVA SP ;0;4;
Cliente Ficticio 1742;R DR CARDOSO DE ALMEIDA,1123 18600005  BOTUCATU SP ;0;4;
Cliente Ficticio 1778;AV FERNANDO PAOLIERI,   217 13056070  CAMPINAS SP ;0;4;
Cliente Ficticio 1814;SQN,0,QD 213  BLOCO A  APT 608 70872010  BRASILIA DF ;0;4;
Cliente Ficticio 1850;R PALMARES,   120 93224570  SAPUCAIA DO SUL RS ;0;4;
Cliente Ficticio 1886;R DEZOITO DE MAIO,   573 96400570  BAGE RS ;0;4;
Cliente Ficticio 1922;R ALBERT SABIN,   721 79090160  CAMPO GRANDE MS ;0;4;
Cliente Ficticio 1958;R CLOVIS CYRILO LIMONGE,109 30555030  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 1994;AL SUBTEN-AV FRANCISCO HIERRO,   304, CASA 2 02187040  SAO PAULO SP ;0;4;
Cliente Ficticio 2030;R ALMEIDA JUNIOR,32,CASA 1 24710160  SAO GONCALO RJ ;0;4;
Cliente Ficticio 2066;R RICARDO VILELA,   422, CASA 03 03642010  SAO PAULO SP ;0;4;
Cliente Ficticio 2102;R CATUQUINA,   180 03355050  SAO PAULO SP ;0;4;
Cliente Ficticio 2138;R RODOLFO BARDELLA,   335, CASA 7 02845070  SAO PAULO SP ;0;4;
Cliente Ficticio 2174;R DR JOAO SABINO,  1307 13575050  SAO CARLOS SP ;0;4;
Cliente Ficticio 2210;QNM,43,QD 05,  CJ N, 72215064  BRASILIA DF ;0;4;
Cliente Ficticio 2246;R GENTIL DE OURO,615,BL 04 APT 202 23063340  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 2282;AV AFFONSO PENNA,   464, APT 12 11020002  SANTOS SP ;0;4;
Cliente Ficticio 2318;AV MTO VILLA LOBOS,   373, APT 121 02266000  SAO PAULO SP ;0;4;
Cliente Ficticio 2354;R JOSE AISSUM,   262, APT 01 14090370  RIBEIRAO PRETO SP ;0;4;
Cliente Ficticio 2390;R STA RITA DURAO,   347, APT 1203 30140111  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 2426;AV STOS DUMONT,   234, BL SILVER STAR, APT 74 18065290  SOROCABA SP ;0;4;
Cliente Ficticio 2462;R BARRA DO TIBAJI,234 01128000  SAO PAULO SP ;0;4;
Cliente Ficticio 2498;R JOAO SAMAHA,   800, LJ 03 31520100  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 2534;R JOAQUIM FERREIRA BARBOSA,   594, FD 18081085  SOROCABA SP ;0;4;
Cliente Ficticio 2570;AL 10 (204 SUL),     2, / A, APT 103 77020468  PALMAS TO ;0;4;
Cliente Ficticio 2642;R CAIENA,   299, CASA 1 09350585  MAUA SP ;0;4;
Cliente Ficticio 2661;R DAS GAMBOAS,   407, BL 1, APT 23 02311100  SAO PAULO SP ;0;4;
Cliente Ficticio 2662;R TEN JOSE MARIA PINTO,   168 04675090  SAO PAULO SP ;0;4;
Cliente Ficticio 2675;R JOSE ALVES DA SILVA,    85 12232281  SAO JOSE DOS CAMPOS SP ;0;4;
Cliente Ficticio 2695;R DA MATILDE,    23 03512000  SAO PAULO SP ;0;4;
Cliente Ficticio 2727;R CARMESIA,   628 31080170  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 2767;R JOSE LOPES SALINAS,   154 18110270  VOTORANTIM SP ;0;4;
Cliente Ficticio 2785;R MANGARATU,   113, CASA 3 02514030  SAO PAULO SP ;0;4;
Cliente Ficticio 2806;R DR DANILO GOMES,1396,BL A5       APT 1 81750070  CURITIBA PR ;0;4;
Cliente Ficticio 2830;R NOVO ORIENTE DO PIAUI,   800, BL 4, APT 21 03820310  SAO PAULO SP ;0;4;
Cliente Ficticio 2854;R GALEAO COUTINHO,306,APT 21 11040210  SANTOS SP ;0;4;
Cliente Ficticio 2878;R DR OSWALDO CRUZ,467,AP 52 11045101  SANTOS SP ;0;4;
Cliente Ficticio 2905;R TOBIARAS,302,CASA 302(B) 03649030  SAO PAULO SP ;0;4;
Cliente Ficticio 2974;R PATROCINIO,   123, APT 304 30710140  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 3007;R LUIS MANFRINATTI,   135 13056709  CAMPINAS SP ;0;4;
Cliente Ficticio 3034;R NOVA DO TUPAROQUERA,365,BL 6, APT 11 05820200  SAO PAULO SP ;0;4;
Cliente Ficticio 3061;R LUIZ RAZERA,   957, CASA 4 13417530  PIRACICABA SP ;0;4;
Cliente Ficticio 3071;R ENG AIRTON JOSE CUNHA,   306 07076090  GUARULHOS SP ;0;4;
Cliente Ficticio 3098;R BASTOS CORDEIRO,  1177 16050460  ARACATUBA SP ;0;4;
Cliente Ficticio 3125;R PAISSANDU,   180, APT 104 22210080  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 3164;R IUBATINGA,145,BL A AP 111 05716110  SAO PAULO SP ;0;4;
Cliente Ficticio 3191;R NOVA FATIMA,    68, CASA C 04688040  SAO PAULO SP ;0;4;
Cliente Ficticio 3218;R FRANCISCO CASSIO BRITO FREIRE,  3419, NR 3430 64016752  TERESINA PI ;0;4;
Cliente Ficticio 3245;R RENATO OLIVIO PERONI,   448 14093531  RIBEIRAO PRETO SP ;0;4;
Cliente Ficticio 3272;R ANDREA FELICIANI,   197, BL B, APT 53 03591020  SAO PAULO SP ;0;4;
Cliente Ficticio 3296;R DES EDGARD DE MOURA BITTENCOURT,79,BL E 8 AP 24 14030902  RIBEIRAO PRETO SP ;0;4;
Cliente Ficticio 3323;AV EUGENIO LOURENCON,441 18604692  BOTUCATU SP ;0;4;
Cliente Ficticio 3347;R EDUARDO,137 07097290  GUARULHOS SP ;0;4;
Cliente Ficticio 3371;R JOAO PRIORE,   302 03562020  SAO PAULO SP ;0;4;
Cliente Ficticio 3372;R MARIA DA GLORIA VILELA,   281 13030625  CAMPINAS SP ;0;18;
Cliente Ficticio 3373;R BELIZARIO DE CASTRO,    50 36052310  JUIZ DE FORA MG ;0;4;
Cliente Ficticio 3374;R THADEU GREMBECKI,   166 18021285  SOROCABA SP ;0;4;
Cliente Ficticio 3375;R JOAO FRAISSAT,    54 05048040  SAO PAULO SP ;0;4;
Cliente Ficticio 3483;R S JORGE,   643, APT 121 03087000  SAO PAULO SP ;0;4;
Cliente Ficticio 3484;R ROMERO ZANDER,   358, BL 1, APT 506 21040080  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 3485;R ALETE DACHEUX STORI,   261 81540120  CURITIBA PR ;0;4;
Cliente Ficticio 3486;R JOAQUIM RIBEIRO,   384, BL R, APT 4 02809000  SAO PAULO SP ;0;4;
Cliente Ficticio 3487;R DES FERNANDO BHERING,209 31260260  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 3488;R PRF WILSON PIRES CESAR,   432 12424370  PINDAMONHANGABA SP ;0;4;
Cliente Ficticio 3489;R AFRANIO PEIXOTO,    75, APT 902 26255330  NOVA IGUACU RJ ;0;4;
Cliente Ficticio 3490;QSD,49,CASA 34 72020490  TAGUATINGA DF ;0;4;
Cliente Ficticio 3491;R PETROGRADO,   528 09260450  SANTO ANDRE SP ;0;4;
Cliente Ficticio 3536;R VLTOS DA PATRIA,  2777, APT 102 14801320  ARARAQUARA SP ;0;4;
Cliente Ficticio 3537;R OZORINO RIBEIRO DE MELO,   313, FD 13060113  CAMPINAS SP ;0;4;
Cliente Ficticio 3538;R PIRASSUNUNGA,   615 03187010  SAO PAULO SP ;0;10;
Cliente Ficticio 3539;R QUINTINO BOCAIUVA QUADRA,52,QUADRA 05 17015100  BAURU SP ;0;4;
Cliente Ficticio 3540;R COLOMBIA,   750, APT 103 11702020  PRAIA GRANDE SP ;0;4;
Cliente Ficticio 3558;R 1,1,Q 52 COND. OSVALDO 69095504  MANAUS AM ;0;4;
Cliente Ficticio 3559;R GEN JOAO TELES,   670 96400030  BAGE RS ;0;4;
Cliente Ficticio 3560;R TIETE,  1007 09616080  SAO BERNARDO DO CAMPO SP ;0;4;
Cliente Ficticio 3561;R PRFA BARTIRA MOURAO,391,APT 302 30492025  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 3562;R MARLO DA COSTA E SOUZA,   185, BL 1, APT 1306 22790735  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 3563;CENTRAL,106,QD 56 LT 16 BL A 72405560  BRASILIA DF ;0;4;
Cliente Ficticio 3564;R CORIOLANO,  1920, / A 05047002  SAO PAULO SP ;0;4;
Cliente Ficticio 3565;R JAGUARUNDI,84,CASA 2 08223040  SAO PAULO SP ;0;4;
Cliente Ficticio 3600;R CAMBURIU,    34 05058020  SAO PAULO SP ;0;4;
Cliente Ficticio 3601;AV DO CURSINO,   643 04133000  SAO PAULO SP ;0;4;
Cliente Ficticio 3602;R CRISOLIA,   262 02756000  SAO PAULO SP ;0;4;
Cliente Ficticio 3603;R NATAL,  2329, CASA 4 82930210  CURITIBA PR ;0;4;
Cliente Ficticio 3604;R JOSE ELIAS ABRAHAO,    65 15042067  SAO JOSE DO RIO PRETO SP ;0;4;
Cliente Ficticio 3605;R NOVA ODESSA,   319 07143210  GUARULHOS SP ;0;4;
Cliente Ficticio 3606;R DR ATAIDE PIMENTA,    16, CASA 1 26130090  BELFORD ROXO RJ ;0;4;
Cliente Ficticio 3607;AV ALVORADA,   159 79002520  CAMPO GRANDE MS ;0;4;
Cliente Ficticio 3644;AV HENRIQUE GONCALVES BAPTISTA,  1922, BL 5, APT 21 06420130  BARUERI SP ;0;4;
Cliente Ficticio 3645;R JULIO VERNE,236,ED IMBIRIBEIRA I, BL D, APT 101 51170030  RECIFE PE ;0;4;
Cliente Ficticio 3646;AV 7 DE SETEMBRO,931,CS 09912010  DIADEMA SP ;0;10;
Cliente Ficticio 3647;R PRFA FRANCISCA ANGELA A PRADO,   131 12518080  GUARATINGUETA SP ;0;4;
Cliente Ficticio 3648;PC MQ DE NAZARE,    45 03359070  SAO PAULO SP ;0;4;
Cliente Ficticio 3691;R ORTOCLASIO,   107, CASA A 31535610  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 3692;R MARTIM AFONSO,   160, BL 15, APT 11 09911550  DIADEMA SP ;0;4;
Cliente Ficticio 3693;R VIRGINIA TURCI ZANIN,   200 12043410  TAUBATE SP ;0;4;
Cliente Ficticio 3694;R MQ DE JACAREPAGUA,   707, BL 1, APT 406 22730290  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 3695;EST VER OSCAR HORM,    53, APT 01 93546010  NOVO HAMBURGO RS ;0;4;
Cliente Ficticio 3696;R ESTEVAO DE ALMEIDA,   280 11370080  SAO VICENTE SP ;0;18;
Cliente Ficticio 3697;AV LARANJEIRAS,288 13485020  LIMEIRA SP ;0;4;
Cliente Ficticio 3698;R ARNALDO VICTALIANO,  1550, BL B, APT 44 14091530  RIBEIRAO PRETO SP ;0;4;
Cliente Ficticio 3699;QNE, QD 28, CASA 35, FD 02 72125280  BRASILIA DF ;0;4;
Cliente Ficticio 3768;R ODORICO,204 09110750  SANTO ANDRE SP ;0;18;
Cliente Ficticio 3769;R SIMONE DAL TOSO,    24, CASA 02 81570520  CURITIBA PR ;0;4;
Cliente Ficticio 3770;R DUARTE DA COSTA,   675, CASA 2 06462120  BARUERI SP ;0;4;
Cliente Ficticio 3771;R DOMINGOS DE MORAIS,280,SALA 05 04010000  SAO PAULO SP ;0;4;
Cliente Ficticio 3844;R PE PEDRO DE PEDROSA,   237 05569140  SAO PAULO SP ;0;4;
Cliente Ficticio 3845;R JOSE PAULINO,1875,AP 12 13023102  CAMPINAS SP ;0;4;
Cliente Ficticio 3846;R MOACIR SALLES DAVILA,  1017, CASA 2 06288020  OSASCO SP ;0;4;
Cliente Ficticio 3869;R TAB QUINTINO DA SILVA FURTADO,   347 88119320  SAO JOSE SC ;0;4;
Cliente Ficticio 3870;R EXP ANTONIO PAULISTA,    51, FT 12324220  JACAREI SP ;0;4;
Cliente Ficticio 3871;R DOS MAIAS,   845, BL Q PORT Q2, APT 205 91170200  PORTO ALEGRE RS ;0;4;
Cliente Ficticio 3872;R 13 DE MAIO,197,ANT 195 07071050  GUARULHOS SP ;0;4;
Cliente Ficticio 3873;R LAURO BITTENCOURT,   742, CASA 1 69029060  MANAUS AM ;0;4;
Cliente Ficticio 3874;R PETER-PAN,   194 23045420  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 3875;R BENTO FERREIRA,1104 38060240  UBERABA MG ;0;4;
Cliente Ficticio 3928;R MAX GRIMBERG,   180, CASA 4 08737270  MOGI DAS CRUZES SP ;0;4;
Cliente Ficticio 3929;R FRANCISCO ZANICOTTI SOBRINHO,   210, BL 1, APT 804 82640220  CURITIBA PR ;0;4;
Cliente Ficticio 3930;R CAJOBI,193 06385490  CARAPICUIBA SP ;0;4;
Cliente Ficticio 3931;R JOSE PRADO DE ALMEIDA PACHECO,   224 17213372  JAU SP ;0;4;
Cliente Ficticio 3932;R OCASOS,   347, BL 14A, APT 02 02992070  SAO PAULO SP ;0;4;
Cliente Ficticio 3933;RESIDENCIAL OESTE, QD 206, CJ 07, LT 15 71691473  BRASILIA DF ;0;4;
Cliente Ficticio 3934;R GONDAREM,    99 03579210  SAO PAULO SP ;0;10;
Cliente Ficticio 3936;R CLEMENTE FONINI,   195, APT 804 95034310  CAXIAS DO SUL RS ;0;4;
Cliente Ficticio 3960;R PRFA ADALGISA TEIXEIRA ARCURI,   204 13807596  MOGI MIRIM SP ;0;4;
Cliente Ficticio 3969;R CANHOBA,   474 05201200  SAO PAULO SP ;0;4;
Cliente Ficticio 3993;R IRATI,981 83010160  SAO JOSE DOS PINHAIS PR ;0;4;
Cliente Ficticio 4020;R LEOPOLDINA REGO,   524, APT 104 21021521  RIO DE JANEIRO RJ ;0;10;
Cliente Ficticio 4044;R ANTONIO BENEDITO FERREIRA,  1245 06246110  OSASCO SP ;0;4;
Cliente Ficticio 4086;R JOSE DE ALBUQUERQUE MEDEIROS,   332 02336000  SAO PAULO SP ;0;16;
Cliente Ficticio 4126;R CEL JOAQUIM LEONEL,  1039 18200355  ITAPETININGA SP ;0;4;
Cliente Ficticio 4186;AV AFONSO LOPES DE BAIAO,    95 08060120  SAO PAULO SP ;0;10;
Cliente Ficticio 4232;AV DO TABOAO,  2582, APT 45 09655000  SAO BERNARDO DO CAMPO SP ;0;32;
Cliente Ficticio 4404;R ANGELO ORTOLAN,   150, BL 33, APT 402 13478710  AMERICANA SP ;0;32;
Cliente Ficticio 4410;R STA ISABEL,   438, APT 3 09230580  SANTO ANDRE SP ;0;4;
Cliente Ficticio 4417;R N SRA SENHORA DO ROSARIO,   718 06190010  OSASCO SP ;0;4;
Cliente Ficticio 4431;R MIGUEL DE OLIVEIRA,   181 08062040  SAO PAULO SP ;0;10;
Cliente Ficticio 4452;R 18,  3466 13504362  RIO CLARO SP ;0;10;
Cliente Ficticio 4465;R DA INSPIRACAO,   312, LJ C 21221330  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 4485;R DO ROSEIRAL,   258, CASA 3 04467130  SAO PAULO SP ;0;4;
Cliente Ficticio 4499;R LUISA DIAS MARTINS,   140, CS 1 26265190  NOVA IGUACU RJ ;0;16;
Cliente Ficticio 4530;R MARIA STELLA GRASSI REALI,35 13575700  SAO CARLOS SP ;0;10;
Cliente Ficticio 4531;R JOAO PESSOA,601,540 89036000  BLUMENAU SC ;0;10;
Cliente Ficticio 4546;R BERNARDO DE ARAUJO CARVALHAL,   232 02421050  SAO PAULO SP ;0;10;
Cliente Ficticio 4562;R COBE,   391 21820200  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 4573;R PRFA VIERO,   571, APT 284 95040520  CAXIAS DO SUL RS ;0;4;
Cliente Ficticio 4586;R ARMANDO DE ALMEIDA ALCANTARA,    68 11087380  SANTOS SP ;0;4;
Cliente Ficticio 4611;AV RENASCENCA,   108, APT 507 31160000  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 4626;R BAURU,   799, CASA 1 09751440  SAO BERNARDO DO CAMPO SP ;0;4;
Cliente Ficticio 4646;R SEBASTIAO CARNEIRO LOBO,   737 86087040  LONDRINA PR ;0;4;
Cliente Ficticio 4659;R GELASIO PIMENTA,107,CASA  02 03412000  SAO PAULO SP ;0;4;
Cliente Ficticio 4682;R PRCA IZABEL,    90 13172683  SUMARE SP ;0;18;
Cliente Ficticio 4704;R VSC DE OURO PRETO,   496, CASA 1 93315400  NOVO HAMBURGO RS ;0;10;
Cliente Ficticio 4705;R GEN SILVIO PEREIRA DA SILVA,    48, FD 22780510  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 4711;AV TIETE,   621, APT 25 09572401  SAO CAETANO DO SUL SP ;0;4;
Cliente Ficticio 4712;R ADOLPHO GOLDMAN,   142, FD 18078451  SOROCABA SP ;0;4;
Cliente Ficticio 4731;R PRFA LUCINDA BASTOS,  1358, BL B, APT 112 08750580  MOGI DAS CRUZES SP ;0;4;
Cliente Ficticio 4732;R ORESTES BARBOSA,   196 07123000  GUARULHOS SP ;0;4;
Cliente Ficticio 4733;R PINHEIRO CHAGAS,    28 09260590  SANTO ANDRE SP ;0;4;
Cliente Ficticio 4734;R SA VIANA,    44, APT 501 20540260  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 4759;R MIN MOREIRA DE ABREU,   472, CASA 3 21071485  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 4760;RUA,107,R 36,LT 3350, BL B 71919180  BRASILIA DF ;0;4;
Cliente Ficticio 4761;R JOAQUIM FRANCISCO BELLOMO,   110 17512340  MARILIA SP ;0;4;
Cliente Ficticio 4762;R MOCAMBIQUE,   463 13207380  JUNDIAI SP ;0;10;
Cliente Ficticio 4763;R PRIMO ANTONIO BERTOLETTI,608,APT 02 FT 95086330  CAXIAS DO SUL RS ;0;4;
Cliente Ficticio 4764;PC CHILE,   130, APT 162 09210270  SANTO ANDRE SP ;0;4;
Cliente Ficticio 4850;R HENRIQUE DINIZ,   410, BL C, APT 102 31250620  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 4851;R S FORTUNATO,    88, CASA 1 04783050  SAO PAULO SP ;0;4;
Cliente Ficticio 4852;R LINEU JUCA,   500 60420090  FORTALEZA CE ;0;4;
Cliente Ficticio 4853;R PRF LUIS ROSANOVA,    91 02335090  SAO PAULO SP ;0;4;
Cliente Ficticio 4854;R GEN SOUZA DOCA,    52, APT 102 90630050  PORTO ALEGRE RS ;0;4;
Cliente Ficticio 4855;AV CIRCULAR,   850, CASA FUNDOS 91320180  PORTO ALEGRE RS ;0;4;
Cliente Ficticio 4856;AV AUGUSTO DE LIMA,   479, SALA 1808 30190000  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 4857;R ANTONIO AUGUSTO,  2561, BL A, APT 104 60110533  FORTALEZA CE ;0;4;
Cliente Ficticio 4888;AV CARLOS DE CAMPOS,   256, BL B, APT 25 03028000  SAO PAULO SP ;0;4;
Cliente Ficticio 4889;R ODYLA BARRETO,   130 17522030  MARILIA SP ;0;4;
Cliente Ficticio 4890;R ARACARI,    65, CASA 1 09931500  DIADEMA SP ;0;4;
Cliente Ficticio 4891;R CAP MARIO FLAQUER,    73, CASA 6 09020150  SANTO ANDRE SP ;0;4;
Cliente Ficticio 4892;ROD VIRGILIO VARZEA,  1510, BL G, ED CENTRAL PA, APT 103 88032001  FLORIANOPOLIS SC ;0;4;
Cliente Ficticio 4893;R JOAO ALFREDO,   329, APT 203 90050230  PORTO ALEGRE RS ;0;4;
Cliente Ficticio 4894;R GISEI YAMADA,    98 14802089  ARARAQUARA SP ;0;4;
Cliente Ficticio 4895;R OVIDIO GOMES MONTEIRO,   318 69042110  MANAUS AM ;0;4;
Cliente Ficticio 4896;AV DR AUGUSTO DE TOLEDO,    84 09541520  SAO CAETANO DO SUL SP ;0;4;
Cliente Ficticio 4897;R BR DE IPANEMA,    71, APT 507 22050031  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 4898;R PIUM-I,  1087, APT 604 30310080  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 4899;R MEXICO,    31 12286050  CACAPAVA SP ;0;4;
Cliente Ficticio 4900;TV LEONARDO GANDARA,   122, BL A, APT 41 02815070  SAO PAULO SP ;0;4;
Cliente Ficticio 4926;R 1A,1326 13504009  RIO CLARO SP ;0;4;
Cliente Ficticio 4972;SQSW,504,BLOCO G APT: 204 70673507  BRASILIA DF ;0;4;
Cliente Ficticio 4973;R CARD D SEBASTIAO LEME,    23, APT 301 20240012  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 4974;AV ELISIO TEIXEIRA LEITE,  3052, FD 02801000  SAO PAULO SP ;0;4;
Cliente Ficticio 4975;R CAP PADILHA,195,CASA 1 91710100  PORTO ALEGRE RS ;0;4;
Cliente Ficticio 4976;R IVO TOMAS FERNANDES,   169 12052660  TAUBATE SP ;0;4;
Cliente Ficticio 4977;R FRANCISCO ALVES,137,ANT 26 07120130  GUARULHOS SP ;0;4;
Cliente Ficticio 4978;R ADRIANO ESPINDOLA,   769 12236720  SAO JOSE DOS CAMPOS SP ;0;10;
Cliente Ficticio 4979;AV ADELIA FRANCO,3662,BL PESCARA APT 604 49040020  ARACAJU SE ;0;4;
Cliente Ficticio 4980;R FR GASPAR,  3066 11340000  SAO VICENTE SP ;0;4;
Cliente Ficticio 4981;R ABEL LUIS FERREIRA,277,BL E 2 AP 34 13050900  CAMPINAS SP ;0;4;
Cliente Ficticio 4982;R DR GUILHERME DA SILVA,   520, BL PLAZA BEETHOVEM, APT 8 13025070  CAMPINAS SP ;0;4;
Cliente Ficticio 4983;R RUBENS GONCALVES DE FREITAS,   163 11703130  PRAIA GRANDE SP ;0;4;
Cliente Ficticio 4984;R JOSE OSVALDO,243,APART 81C 02250010  SAO PAULO SP ;0;4;
Cliente Ficticio 4985;R ESPANHA,   335 13455420  SANTA BARBARA D OESTE SP ;0;4;
